game_id,team,player,minutes,FG,3P,FT,O,D,Reb,Ast,Stl,Blk,TO,PF,+/-,Pts
toronto_la_clippers_nov_11_19,Toronto Raptors,Matt Thomas,11:22:00,3-3,2-2,0-0,0,1,1,0,0,0,1,3,-5,8
toronto_la_clippers_nov_11_19,Toronto Raptors,Terence Davis,16:45:00,2-4,1-2,0-0,0,1,1,2,1,1,0,1,2,5
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Kawhi Leonard,34:58:00,2-11,0-4,8-9,2,9,11,9,3,0,9,3,12,12
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Patrick Patterson,15:18:00,4-9,4-8,0-0,2,0,2,1,0,0,0,1,-4,12
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Patrick Beverley,23:46:00,2-6,0-3,2-4,3,9,12,2,1,0,2,2,8,6
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Ivica Zubac,16:41:00,3-9,0-0,0-0,3,6,9,0,1,1,1,2,1,6
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Landry Shamet,18:09:00,2-5,2-5,0-0,0,1,1,2,0,0,1,4,6,6
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Lou Williams,35:46:00,7-15,2-6,5-6,0,4,4,4,1,0,2,0,0,21
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Montrezl Harrell,31:19:00,7-15,0-1,0-2,3,8,11,2,2,3,2,3,9,14
toronto_la_clippers_nov_11_19,Los Angeles Clippers,JaMychal Green,24:28:00,3-11,0-5,4-5,5,7,12,1,0,1,2,1,5,10
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Maurice Harkless,32:32:00,3-9,0-3,3-4,2,2,4,3,0,2,0,5,14,9
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Rodney McGruder,6:45:00,1-2,0-1,0-0,0,0,0,1,1,0,0,0,-1,2
toronto_la_clippers_nov_11_19,Los Angeles Clippers,Terance Mann,0:18:00,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
