,home,away,home_points,away_points
132,New Orleans Pelicans,Chicago Bulls,96,90
133,Minnesota Timberwolves,Dallas Mavericks,112,99
134,Golden State Warriors,Denver Nuggets,127,108
135,Atlanta Hawks,Cleveland Cavaliers,117,115
136,Miami Heat,Los Angeles Clippers,104,101
137,Boston Celtics,Orlando Magic,104,88
138,Washington Wizards,Toronto Raptors,107,96
139,Houston Rockets,Utah Jazz,137,110
140,San Antonio Spurs,Phoenix Suns,112,95
141,New York Knicks,Indiana Pacers,108,101
142,Minnesota Timberwolves,Charlotte Hornets,112,94
143,Portland Trail Blazers,Oklahoma City Thunder,103,99
144,Los Angeles Lakers,Memphis Grizzlies,107,102
145,Boston Celtics,Atlanta Hawks,110,107
146,Brooklyn Nets,Phoenix Suns,98,92
147,Golden State Warriors,Miami Heat,97,80
148,Cleveland Cavaliers,Milwaukee Bucks,124,119
149,New Orleans Pelicans,Indiana Pacers,117,112
150,Dallas Mavericks,Washington Wizards,113,99
151,New York Knicks,Charlotte Hornets,118,113
152,Toronto Raptors,Chicago Bulls,119,114
153,San Antonio Spurs,Los Angeles Clippers,120,107
154,Denver Nuggets,Brooklyn Nets,112,104
155,Philadelphia 76ers,Utah Jazz,104,97
156,Memphis Grizzlies,Portland Trail Blazers,98,97
157,Sacramento Kings,Oklahoma City Thunder,94,86
158,Detroit Pistons,Indiana Pacers,114,97
159,Orlando Magic,New York Knicks,112,99
160,Boston Celtics,Los Angeles Lakers,107,96
161,Miami Heat,Phoenix Suns,126,115
162,Golden State Warriors,Minnesota Timberwolves,125,101
163,Washington Wizards,Los Angeles Lakers,111,95
164,Toronto Raptors,New Orleans Pelicans,122,118
165,Houston Rockets,Cleveland Cavaliers,117,113
166,Sacramento Kings,Philadelphia 76ers,109,108
167,Denver Nuggets,Oklahoma City Thunder,102,94
168,Detroit Pistons,Atlanta Hawks,111,104
169,Boston Celtics,Charlotte Hornets,90,87
170,Indiana Pacers,Chicago Bulls,105,87
171,Oklahoma City Thunder,Los Angeles Clippers,120,111
172,Milwaukee Bucks,San Antonio Spurs,94,87
173,Orlando Magic,Phoenix Suns,128,112
174,Miami Heat,Utah Jazz,84,74
175,Brooklyn Nets,Portland Trail Blazers,101,97
176,Washington Wizards,Atlanta Hawks,113,94
177,New Orleans Pelicans,Los Angeles Clippers,111,103
178,New York Knicks,Sacramento Kings,118,91
179,Houston Rockets,Memphis Grizzlies,111,96
180,Cleveland Cavaliers,Dallas Mavericks,111,104
181,Milwaukee Bucks,Los Angeles Lakers,98,90
182,San Antonio Spurs,Chicago Bulls,133,94
183,Golden State Warriors,Philadelphia 76ers,135,114
184,Denver Nuggets,Orlando Magic,125,107
185,Phoenix Suns,Minnesota Timberwolves,118,110
186,Utah Jazz,Brooklyn Nets,114,106
187,Boston Celtics,Toronto Raptors,95,94
188,Detroit Pistons,Miami Heat,112,103
189,Houston Rockets,Indiana Pacers,118,95
190,Oklahoma City Thunder,Dallas Mavericks,112,99
191,Washington Wizards,Sacramento Kings,110,92
192,Cleveland Cavaliers,New York Knicks,104,101
193,Milwaukee Bucks,Memphis Grizzlies,110,103
194,New Orleans Pelicans,Atlanta Hawks,106,105
195,Los Angeles Lakers,Phoenix Suns,100,93
196,Minnesota Timberwolves,Utah Jazz,109,98
197,Portland Trail Blazers,Denver Nuggets,99,82
198,Golden State Warriors,Orlando Magic,110,100
199,Philadelphia 76ers,Los Angeles Clippers,109,105
200,Boston Celtics,Brooklyn Nets,109,102
201,Toronto Raptors,Houston Rockets,129,113
202,San Antonio Spurs,Dallas Mavericks,97,91
203,Atlanta Hawks,Sacramento Kings,126,80
204,Washington Wizards,Miami Heat,102,93
205,New York Knicks,Utah Jazz,106,101
206,Cleveland Cavaliers,Charlotte Hornets,115,107
207,Indiana Pacers,Memphis Grizzlies,116,113
208,Milwaukee Bucks,Detroit Pistons,99,95
209,Minnesota Timberwolves,San Antonio Spurs,98,86
210,Toronto Raptors,New Orleans Pelicans,125,116
211,Oklahoma City Thunder,Chicago Bulls,92,79
212,Portland Trail Blazers,Orlando Magic,99,94
213,Philadelphia 76ers,Los Angeles Lakers,115,109
214,Boston Celtics,Golden State Warriors,92,88
215,Houston Rockets,Phoenix Suns,142,116
216,Indiana Pacers,Detroit Pistons,107,100
217,Miami Heat,Washington Wizards,91,88
218,Brooklyn Nets,Utah Jazz,118,107
219,Cleveland Cavaliers,Los Angeles Clippers,118,113
220,Toronto Raptors,New York Knicks,107,84
221,Chicago Bulls,Charlotte Hornets,123,120
222,San Antonio Spurs,Oklahoma City Thunder,104,101
223,Minnesota Timberwolves,Dallas Mavericks,111,87
224,Sacramento Kings,Portland Trail Blazers,86,82
225,Denver Nuggets,New Orleans Pelicans,146,114
226,Phoenix Suns,Los Angeles Lakers,122,113
227,Charlotte Hornets,Los Angeles Clippers,102,87
228,Utah Jazz,Orlando Magic,125,85
229,Boston Celtics,Atlanta Hawks,110,99
230,Golden State Warriors,Philadelphia 76ers,124,116
231,Houston Rockets,Memphis Grizzlies,105,83
232,Dallas Mavericks,Milwaukee Bucks,111,79
233,Portland Trail Blazers,Sacramento Kings,102,90
234,Indiana Pacers,Miami Heat,120,95
235,Golden State Warriors,Brooklyn Nets,118,111
236,Toronto Raptors,Washington Wizards,100,91
237,Detroit Pistons,Minnesota Timberwolves,100,97
238,Phoenix Suns,Chicago Bulls,113,105
239,Los Angeles Lakers,Denver Nuggets,127,109
240,Charlotte Hornets,Minnesota Timberwolves,118,102
241,Cleveland Cavaliers,Detroit Pistons,116,88
242,Indiana Pacers,Orlando Magic,105,97
243,Philadelphia 76ers,Utah Jazz,107,86
244,New York Knicks,Los Angeles Clippers,107,85
245,Portland Trail Blazers,Memphis Grizzlies,100,92
246,Washington Wizards,Milwaukee Bucks,99,88
247,New Orleans Pelicans,Oklahoma City Thunder,114,107
248,Boston Celtics,Dallas Mavericks,110,102
249,San Antonio Spurs,Atlanta Hawks,96,85
250,Denver Nuggets,Sacramento Kings,114,98
251,Los Angeles Lakers,Chicago Bulls,103,94
252,Charlotte Hornets,Washington Wizards,129,124
253,Cleveland Cavaliers,Brooklyn Nets,119,109
254,Philadelphia 76ers,Portland Trail Blazers,101,81
255,Los Angeles Clippers,Atlanta Hawks,116,103
256,Miami Heat,Boston Celtics,104,98
257,New York Knicks,Toronto Raptors,108,100
258,Houston Rockets,Denver Nuggets,125,95
259,Dallas Mavericks,Memphis Grizzlies,95,94
260,Minnesota Timberwolves,Orlando Magic,124,118
261,New Orleans Pelicans,San Antonio Spurs,107,90
262,Oklahoma City Thunder,Golden State Warriors,108,91
263,Milwaukee Bucks,Phoenix Suns,113,107
264,Utah Jazz,Chicago Bulls,110,80
265,Sacramento Kings,Los Angeles Lakers,113,102
266,Portland Trail Blazers,Brooklyn Nets,127,125
267,Atlanta Hawks,New York Knicks,116,104
268,Boston Celtics,Orlando Magic,118,103
269,Cleveland Cavaliers,Charlotte Hornets,100,99
270,Indiana Pacers,Toronto Raptors,107,104
271,Miami Heat,Minnesota Timberwolves,109,97
272,Detroit Pistons,Oklahoma City Thunder,99,98
273,Denver Nuggets,Memphis Grizzlies,104,92
274,New Orleans Pelicans,Phoenix Suns,115,91
275,Golden State Warriors,Chicago Bulls,143,94
276,San Antonio Spurs,Charlotte Hornets,106,86
277,Philadelphia 76ers,Orlando Magic,130,111
278,Portland Trail Blazers,Washington Wizards,108,105
279,Toronto Raptors,Atlanta Hawks,112,78
280,Boston Celtics,Indiana Pacers,108,98
281,Houston Rockets,New York Knicks,117,102
282,Dallas Mavericks,Oklahoma City Thunder,97,81
283,Golden State Warriors,New Orleans Pelicans,110,95
284,Utah Jazz,Milwaukee Bucks,121,108
285,Los Angeles Clippers,Sacramento Kings,97,95
286,Miami Heat,Chicago Bulls,100,93
287,Minnesota Timberwolves,Phoenix Suns,119,108
288,Brooklyn Nets,Memphis Grizzlies,98,88
289,Indiana Pacers,Orlando Magic,121,109
290,Cleveland Cavaliers,Philadelphia 76ers,113,91
291,Detroit Pistons,Boston Celtics,118,108
292,Portland Trail Blazers,New York Knicks,103,91
293,Houston Rockets,Brooklyn Nets,117,103
294,San Antonio Spurs,Dallas Mavericks,115,108
295,Sacramento Kings,Golden State Warriors,110,106
296,Los Angeles Clippers,Los Angeles Lakers,120,115
297,Cleveland Cavaliers,Miami Heat,108,97
298,Phoenix Suns,Chicago Bulls,104,99
299,Washington Wizards,Minnesota Timberwolves,92,89
300,Utah Jazz,Denver Nuggets,106,77
301,Milwaukee Bucks,Sacramento Kings,112,87
302,Detroit Pistons,Phoenix Suns,131,107
303,Orlando Magic,Oklahoma City Thunder,121,108
304,Philadelphia 76ers,Washington Wizards,118,113
305,New York Knicks,Miami Heat,115,86
306,Toronto Raptors,Charlotte Hornets,126,113
307,Houston Rockets,Indiana Pacers,118,97
308,Minnesota Timberwolves,New Orleans Pelicans,120,102
309,Brooklyn Nets,Dallas Mavericks,109,104
310,San Antonio Spurs,Memphis Grizzlies,104,95
311,Golden State Warriors,Los Angeles Lakers,127,123
312,Cleveland Cavaliers,Atlanta Hawks,121,114
313,Boston Celtics,Philadelphia 76ers,108,97
314,Denver Nuggets,Chicago Bulls,111,110
315,Milwaukee Bucks,Portland Trail Blazers,103,91
316,Utah Jazz,Los Angeles Clippers,126,107
317,Golden State Warriors,Orlando Magic,133,112
318,Washington Wizards,Detroit Pistons,109,91
319,Toronto Raptors,Indiana Pacers,120,115
320,Miami Heat,Charlotte Hornets,105,100
321,Sacramento Kings,Chicago Bulls,107,106
322,San Antonio Spurs,Memphis Grizzlies,95,79
323,Oklahoma City Thunder,Minnesota Timberwolves,111,107
324,Utah Jazz,New Orleans Pelicans,114,108
325,Boston Celtics,Phoenix Suns,116,111
326,Dallas Mavericks,Los Angeles Clippers,108,82
327,Atlanta Hawks,Brooklyn Nets,114,102
328,Cleveland Cavaliers,Memphis Grizzlies,116,111
329,Philadelphia 76ers,Detroit Pistons,108,103
330,Milwaukee Bucks,Sacramento Kings,109,104
331,Denver Nuggets,Los Angeles Lakers,115,100
332,New Orleans Pelicans,Portland Trail Blazers,123,116
333,Orlando Magic,New York Knicks,105,100
334,Golden State Warriors,Miami Heat,123,95
335,Minnesota Timberwolves,Los Angeles Clippers,112,106
336,Oklahoma City Thunder,San Antonio Spurs,90,87
337,Houston Rockets,Los Angeles Lakers,118,95
338,Charlotte Hornets,Orlando Magic,104,94
339,Indiana Pacers,New York Knicks,115,97
340,Phoenix Suns,Philadelphia 76ers,115,101
341,Brooklyn Nets,Atlanta Hawks,110,90
342,Boston Celtics,Milwaukee Bucks,111,100
343,Cleveland Cavaliers,Chicago Bulls,113,91
344,Memphis Grizzlies,Minnesota Timberwolves,95,92
345,Golden State Warriors,New Orleans Pelicans,125,115
346,Dallas Mavericks,Denver Nuggets,122,105
347,San Antonio Spurs,Detroit Pistons,96,93
348,Utah Jazz,Washington Wizards,116,69
349,Toronto Raptors,Phoenix Suns,126,113
350,Oklahoma City Thunder,Utah Jazz,100,94
351,Washington Wizards,Portland Trail Blazers,106,92
352,Cleveland Cavaliers,Sacramento Kings,101,95
353,Indiana Pacers,Chicago Bulls,98,96
354,Orlando Magic,Atlanta Hawks,110,106
355,Boston Celtics,Dallas Mavericks,97,90
356,New York Knicks,Memphis Grizzlies,99,88
357,Golden State Warriors,Charlotte Hornets,101,87
358,Milwaukee Bucks,Detroit Pistons,104,100
359,New Orleans Pelicans,Denver Nuggets,123,114
360,San Antonio Spurs,Miami Heat,117,105
361,Minnesota Timberwolves,Los Angeles Clippers,113,107
362,Los Angeles Lakers,Philadelphia 76ers,107,104
363,Washington Wizards,Phoenix Suns,109,99
364,Brooklyn Nets,Oklahoma City Thunder,100,95
365,Houston Rockets,Utah Jazz,112,101
366,Chicago Bulls,Charlotte Hornets,119,111
367,Golden State Warriors,Detroit Pistons,102,98
368,Indiana Pacers,Cleveland Cavaliers,106,102
369,Denver Nuggets,Orlando Magic,103,89
370,Toronto Raptors,Memphis Grizzlies,116,107
371,Milwaukee Bucks,Dallas Mavericks,109,102
372,Sacramento Kings,New Orleans Pelicans,116,109
373,San Antonio Spurs,Boston Celtics,105,102
374,Los Angeles Clippers,Washington Wizards,113,112
375,Miami Heat,Brooklyn Nets,101,89
376,Los Angeles Lakers,Charlotte Hornets,110,99
377,Atlanta Hawks,Orlando Magic,117,110
378,Cleveland Cavaliers,Philadelphia 76ers,105,98
379,Chicago Bulls,New York Knicks,104,102
380,Milwaukee Bucks,Utah Jazz,117,100
381,Oklahoma City Thunder,Memphis Grizzlies,102,101
382,San Antonio Spurs,Phoenix Suns,104,101
383,Houston Rockets,Portland Trail Blazers,124,117
384,Toronto Raptors,Sacramento Kings,102,87
385,Boston Celtics,Detroit Pistons,91,81
386,Indiana Pacers,Denver Nuggets,126,116
387,Minnesota Timberwolves,Dallas Mavericks,97,92
388,New Orleans Pelicans,Philadelphia 76ers,131,124
389,New York Knicks,Atlanta Hawks,111,107
390,Chicago Bulls,Boston Celtics,108,85
391,Houston Rockets,New Orleans Pelicans,130,123
392,Miami Heat,Memphis Grizzlies,107,82
393,Charlotte Hornets,Oklahoma City Thunder,116,103
394,Golden State Warriors,Portland Trail Blazers,111,104
395,Los Angeles Clippers,Toronto Raptors,96,91
396,Cleveland Cavaliers,Atlanta Hawks,123,114
397,Denver Nuggets,Detroit Pistons,103,84
398,New York Knicks,Los Angeles Lakers,113,109
399,Brooklyn Nets,Washington Wizards,103,98
400,Philadelphia 76ers,Minnesota Timberwolves,118,112
401,Dallas Mavericks,San Antonio Spurs,95,89
402,Sacramento Kings,Phoenix Suns,99,92
403,Oklahoma City Thunder,Indiana Pacers,100,95
404,Los Angeles Clippers,Orlando Magic,106,95
405,Washington Wizards,Memphis Grizzlies,93,87
406,Boston Celtics,Denver Nuggets,124,118
407,Portland Trail Blazers,Miami Heat,102,95
408,Chicago Bulls,Utah Jazz,103,100
409,New Orleans Pelicans,Milwaukee Bucks,115,108
410,Toronto Raptors,Phoenix Suns,115,109
411,Houston Rockets,Charlotte Hornets,108,96
412,Detroit Pistons,Atlanta Hawks,105,91
413,New York Knicks,Brooklyn Nets,111,104
414,Cleveland Cavaliers,Los Angeles Lakers,121,112
415,Minnesota Timberwolves,Sacramento Kings,119,96
416,Golden State Warriors,Dallas Mavericks,112,97
417,Miami Heat,Charlotte Hornets,104,98
418,Detroit Pistons,Indiana Pacers,104,98
419,Portland Trail Blazers,Orlando Magic,95,88
420,Oklahoma City Thunder,Philadelphia 76ers,119,117
421,Washington Wizards,Los Angeles Clippers,100,91
422,Utah Jazz,Boston Celtics,107,95
423,Toronto Raptors,Brooklyn Nets,120,87
424,Memphis Grizzlies,Atlanta Hawks,96,94
425,Chicago Bulls,Milwaukee Bucks,115,109
426,Denver Nuggets,New Orleans Pelicans,117,111
427,Houston Rockets,San Antonio Spurs,124,109
428,Portland Trail Blazers,Charlotte Hornets,93,91
429,Cleveland Cavaliers,Utah Jazz,109,100
430,New York Knicks,Oklahoma City Thunder,111,96
431,Miami Heat,Los Angeles Clippers,90,85
432,Houston Rockets,Milwaukee Bucks,115,111
433,Phoenix Suns,Minnesota Timberwolves,108,106
434,San Antonio Spurs,Dallas Mavericks,98,96
435,Boston Celtics,Memphis Grizzlies,102,93
436,Toronto Raptors,Sacramento Kings,108,93
437,Detroit Pistons,Orlando Magic,114,110
438,Indiana Pacers,Brooklyn Nets,109,97
439,Cleveland Cavaliers,Washington Wizards,106,99
440,Charlotte Hornets,New York Knicks,109,91
441,Boston Celtics,Indiana Pacers,112,111
442,Atlanta Hawks,Miami Heat,110,104
443,Chicago Bulls,Philadelphia 76ers,117,115
444,Houston Rockets,Utah Jazz,120,99
445,Minnesota Timberwolves,Portland Trail Blazers,108,107
446,Oklahoma City Thunder,Denver Nuggets,95,94
447,Phoenix Suns,Dallas Mavericks,97,91
448,San Antonio Spurs,Los Angeles Clippers,109,91
449,Golden State Warriors,Los Angeles Lakers,116,114
450,Sacramento Kings,Philadelphia 76ers,101,95
451,Washington Wizards,New Orleans Pelicans,116,106
452,Milwaukee Bucks,Cleveland Cavaliers,119,116
453,Toronto Raptors,Charlotte Hornets,129,111
454,Indiana Pacers,Atlanta Hawks,105,95
455,Miami Heat,Boston Celtics,90,89
456,Sacramento Kings,Brooklyn Nets,104,99
457,Chicago Bulls,Orlando Magic,112,94
458,Los Angeles Lakers,Houston Rockets,122,116
459,Oklahoma City Thunder,Utah Jazz,107,79
460,Dallas Mavericks,Detroit Pistons,110,93
461,Minnesota Timberwolves,Denver Nuggets,112,104
462,San Antonio Spurs,Portland Trail Blazers,93,91
463,Golden State Warriors,Memphis Grizzlies,97,84
464,Los Angeles Clippers,Phoenix Suns,108,95
465,Cleveland Cavaliers,Chicago Bulls,115,112
466,Toronto Raptors,Philadelphia 76ers,114,109
467,New York Knicks,Boston Celtics,102,93
468,Phoenix Suns,Memphis Grizzlies,97,95
469,Utah Jazz,San Antonio Spurs,100,89
470,Detroit Pistons,New York Knicks,104,101
471,New Orleans Pelicans,Orlando Magic,111,97
472,Brooklyn Nets,Washington Wizards,119,84
473,Miami Heat,Dallas Mavericks,113,101
474,Los Angeles Clippers,Houston Rockets,128,118
475,Milwaukee Bucks,Charlotte Hornets,109,104
476,Oklahoma City Thunder,Atlanta Hawks,120,117
477,Denver Nuggets,Portland Trail Blazers,102,85
478,Golden State Warriors,Los Angeles Lakers,113,106
479,Toronto Raptors,Philadelphia 76ers,102,86
480,Charlotte Hornets,Milwaukee Bucks,111,106
481,Indiana Pacers,Brooklyn Nets,123,119
482,Washington Wizards,Orlando Magic,130,103
483,Atlanta Hawks,Dallas Mavericks,112,107
484,Boston Celtics,Chicago Bulls,117,92
485,New Orleans Pelicans,Miami Heat,109,94
486,Memphis Grizzlies,Los Angeles Clippers,115,112
487,Oklahoma City Thunder,Utah Jazz,103,89
488,Denver Nuggets,Golden State Warriors,96,81
489,Minnesota Timberwolves,Phoenix Suns,115,106
490,Portland Trail Blazers,Los Angeles Lakers,95,92
491,San Antonio Spurs,Sacramento Kings,108,99
492,Philadelphia 76ers,New York Knicks,105,98
493,Golden State Warriors,Cleveland Cavaliers,99,92
494,Washington Wizards,Boston Celtics,111,103
495,Oklahoma City Thunder,Houston Rockets,112,107
496,Minnesota Timberwolves,Los Angeles Lakers,121,104
497,Detroit Pistons,Indiana Pacers,107,83
498,Dallas Mavericks,Toronto Raptors,98,93
499,Miami Heat,Orlando Magic,107,89
500,Chicago Bulls,Milwaukee Bucks,115,106
501,San Antonio Spurs,Brooklyn Nets,109,97
502,Denver Nuggets,Utah Jazz,107,83
503,Phoenix Suns,Memphis Grizzlies,99,97
504,Los Angeles Clippers,Sacramento Kings,122,95
505,Boston Celtics,Charlotte Hornets,102,91
506,Dallas Mavericks,Indiana Pacers,98,94
507,Atlanta Hawks,Washington Wizards,113,99
508,Chicago Bulls,New York Knicks,92,87
509,Minnesota Timberwolves,Denver Nuggets,128,125
510,New Orleans Pelicans,Brooklyn Nets,128,113
511,Oklahoma City Thunder,Toronto Raptors,124,107
512,Sacramento Kings,Cleveland Cavaliers,109,95
513,Golden State Warriors,Utah Jazz,126,101
514,Memphis Grizzlies,Los Angeles Lakers,109,99
515,Orlando Magic,Detroit Pistons,102,89
516,Boston Celtics,Houston Rockets,99,98
517,Milwaukee Bucks,Minnesota Timberwolves,102,96
518,San Antonio Spurs,New York Knicks,119,107
519,Portland Trail Blazers,Philadelphia 76ers,114,110
520,Washington Wizards,Houston Rockets,121,103
521,Toronto Raptors,Atlanta Hawks,111,98
522,Brooklyn Nets,Miami Heat,111,87
523,Chicago Bulls,Indiana Pacers,119,107
524,Dallas Mavericks,New Orleans Pelicans,128,120
525,Milwaukee Bucks,Oklahoma City Thunder,97,95
526,Phoenix Suns,Sacramento Kings,111,101
527,Charlotte Hornets,Golden State Warriors,111,100
528,Los Angeles Clippers,Los Angeles Lakers,121,106
529,Detroit Pistons,San Antonio Spurs,93,79
530,Miami Heat,Orlando Magic,117,111
531,New York Knicks,New Orleans Pelicans,105,103
532,Atlanta Hawks,Portland Trail Blazers,104,89
533,Utah Jazz,Cleveland Cavaliers,104,101
534,Golden State Warriors,Memphis Grizzlies,141,128
535,Philadelphia 76ers,Denver Nuggets,107,102
536,Washington Wizards,Chicago Bulls,114,110
537,Minnesota Timberwolves,Indiana Pacers,107,90
538,Boston Celtics,Brooklyn Nets,108,105
539,Houston Rockets,Los Angeles Lakers,148,142
540,Dallas Mavericks,Oklahoma City Thunder,116,113
541,Los Angeles Clippers,Charlotte Hornets,106,98
542,Memphis Grizzlies,Sacramento Kings,114,96
543,Philadelphia 76ers,Phoenix Suns,123,110
544,Brooklyn Nets,Orlando Magic,98,95
545,Toronto Raptors,Milwaukee Bucks,131,127
546,Portland Trail Blazers,Chicago Bulls,124,120
547,Minnesota Timberwolves,Los Angeles Lakers,114,96
548,Cleveland Cavaliers,Portland Trail Blazers,127,110
549,San Antonio Spurs,New York Knicks,100,91
550,Phoenix Suns,Atlanta Hawks,104,103
551,Charlotte Hornets,Sacramento Kings,131,111
552,Los Angeles Clippers,Memphis Grizzlies,113,105
