,home,away,home_points,away_points
0,Cleveland Cavaliers,Boston Celtics,102,99
1,Houston Rockets,Golden State Warriors,122,121
2,Washington Wizards,Philadelphia 76ers,120,115
3,Detroit Pistons,Charlotte Hornets,102,90
4,Indiana Pacers,Brooklyn Nets,140,131
5,Orlando Magic,Miami Heat,116,109
6,Milwaukee Bucks,Boston Celtics,108,100
7,Memphis Grizzlies,New Orleans Pelicans,103,91
8,Atlanta Hawks,Dallas Mavericks,117,111
9,Utah Jazz,Denver Nuggets,106,96
10,San Antonio Spurs,Minnesota Timberwolves,107,99
11,Portland Trail Blazers,Phoenix Suns,124,76
12,Houston Rockets,Sacramento Kings,105,100
13,Toronto Raptors,Chicago Bulls,117,100
14,Oklahoma City Thunder,New York Knicks,105,84
15,Los Angeles Clippers,Los Angeles Lakers,108,92
16,Cleveland Cavaliers,Milwaukee Bucks,116,97
17,Charlotte Hornets,Atlanta Hawks,109,91
18,Portland Trail Blazers,Indiana Pacers,114,96
19,Boston Celtics,Philadelphia 76ers,102,92
20,Washington Wizards,Detroit Pistons,115,111
21,Brooklyn Nets,Orlando Magic,126,121
22,Minnesota Timberwolves,Utah Jazz,100,97
23,Sacramento Kings,Dallas Mavericks,93,88
24,Golden State Warriors,New Orleans Pelicans,128,120
25,Los Angeles Lakers,Phoenix Suns,132,130
26,Toronto Raptors,Philadelphia 76ers,128,94
27,Orlando Magic,Cleveland Cavaliers,114,93
28,Miami Heat,Indiana Pacers,112,108
29,Detroit Pistons,New York Knicks,111,107
30,San Antonio Spurs,Chicago Bulls,87,77
31,Houston Rockets,Dallas Mavericks,107,91
32,Memphis Grizzlies,Golden State Warriors,111,101
33,Milwaukee Bucks,Portland Trail Blazers,113,110
34,Denver Nuggets,Sacramento Kings,96,79
35,Utah Jazz,Oklahoma City Thunder,96,87
36,Los Angeles Clippers,Phoenix Suns,130,88
37,Brooklyn Nets,Atlanta Hawks,116,104
38,Minnesota Timberwolves,Oklahoma City Thunder,115,113
39,New Orleans Pelicans,Los Angeles Lakers,119,112
40,Philadelphia 76ers,Detroit Pistons,97,86
41,Miami Heat,Atlanta Hawks,104,93
42,Memphis Grizzlies,Houston Rockets,98,90
43,Milwaukee Bucks,Charlotte Hornets,103,94
44,Golden State Warriors,Dallas Mavericks,133,103
45,San Antonio Spurs,Toronto Raptors,101,97
46,Washington Wizards,Denver Nuggets,109,104
47,Phoenix Suns,Sacramento Kings,117,115
48,Cleveland Cavaliers,Chicago Bulls,119,112
49,Orlando Magic,Brooklyn Nets,125,121
50,Boston Celtics,New York Knicks,110,89
51,Indiana Pacers,Minnesota Timberwolves,130,107
52,Portland Trail Blazers,New Orleans Pelicans,103,93
53,Los Angeles Clippers,Utah Jazz,102,84
54,Charlotte Hornets,Denver Nuggets,110,93
55,Detroit Pistons,Minnesota Timberwolves,122,101
56,Houston Rockets,Philadelphia 76ers,105,104
57,Brooklyn Nets,Cleveland Cavaliers,112,107
58,San Antonio Spurs,Miami Heat,117,100
59,Oklahoma City Thunder,Indiana Pacers,114,96
60,Dallas Mavericks,Memphis Grizzlies,103,94
61,Phoenix Suns,Utah Jazz,97,88
62,Golden State Warriors,Toronto Raptors,117,112
63,Los Angeles Lakers,Washington Wizards,102,99
64,Chicago Bulls,Atlanta Hawks,91,86
65,Memphis Grizzlies,Dallas Mavericks,96,91
66,Boston Celtics,Milwaukee Bucks,96,89
67,Los Angeles Clippers,Portland Trail Blazers,104,103
68,New Orleans Pelicans,Sacramento Kings,114,106
69,Houston Rockets,Charlotte Hornets,109,93
70,Orlando Magic,San Antonio Spurs,114,87
71,Denver Nuggets,Atlanta Hawks,105,100
72,New York Knicks,Brooklyn Nets,107,86
73,Minnesota Timberwolves,Oklahoma City Thunder,119,116
74,Golden State Warriors,Washington Wizards,120,117
75,Toronto Raptors,Los Angeles Lakers,101,92
76,New Orleans Pelicans,Cleveland Cavaliers,123,101
77,Boston Celtics,Miami Heat,96,90
78,Oklahoma City Thunder,Chicago Bulls,101,69
79,Memphis Grizzlies,Houston Rockets,103,89
80,Philadelphia 76ers,Dallas Mavericks,112,110
81,Utah Jazz,Los Angeles Lakers,96,81
82,Portland Trail Blazers,Phoenix Suns,114,107
83,Detroit Pistons,Los Angeles Clippers,95,87
84,Milwaukee Bucks,Atlanta Hawks,117,106
85,Indiana Pacers,San Antonio Spurs,97,94
86,Denver Nuggets,Brooklyn Nets,124,111
87,Charlotte Hornets,Orlando Magic,120,113
88,Washington Wizards,Sacramento Kings,110,83
89,New York Knicks,Cleveland Cavaliers,114,95
90,Detroit Pistons,Golden State Warriors,115,107
91,Boston Celtics,San Antonio Spurs,108,94
92,Minnesota Timberwolves,Miami Heat,125,122
93,New York Knicks,Denver Nuggets,116,110
94,Philadelphia 76ers,Houston Rockets,115,107
95,Charlotte Hornets,Memphis Grizzlies,104,99
96,Orlando Magic,New Orleans Pelicans,115,99
97,Utah Jazz,Dallas Mavericks,104,89
98,Toronto Raptors,Portland Trail Blazers,99,85
99,Golden State Warriors,Los Angeles Clippers,141,113
100,Indiana Pacers,Sacramento Kings,101,83
101,Phoenix Suns,Brooklyn Nets,122,114
102,Oklahoma City Thunder,Milwaukee Bucks,110,91
103,Los Angeles Lakers,Detroit Pistons,113,93
104,Charlotte Hornets,Milwaukee Bucks,126,121
105,Indiana Pacers,Cleveland Cavaliers,124,107
106,Philadelphia 76ers,Atlanta Hawks,119,109
107,Phoenix Suns,Washington Wizards,122,116
108,Boston Celtics,Sacramento Kings,113,86
109,Miami Heat,Chicago Bulls,97,91
110,Houston Rockets,New York Knicks,119,97
111,Orlando Magic,Memphis Grizzlies,101,99
112,Minnesota Timberwolves,New Orleans Pelicans,104,98
113,Denver Nuggets,Toronto Raptors,129,111
114,Utah Jazz,Portland Trail Blazers,112,103
115,Los Angeles Clippers,Dallas Mavericks,119,98
116,Golden State Warriors,San Antonio Spurs,112,92
117,Portland Trail Blazers,Los Angeles Lakers,113,110
118,Detroit Pistons,Milwaukee Bucks,105,96
119,Chicago Bulls,Orlando Magic,105,83
120,Philadelphia 76ers,Indiana Pacers,121,110
121,Cleveland Cavaliers,Washington Wizards,130,122
122,Houston Rockets,Atlanta Hawks,119,104
123,New York Knicks,Phoenix Suns,120,107
124,New Orleans Pelicans,Dallas Mavericks,99,94
125,San Antonio Spurs,Charlotte Hornets,108,101
126,Denver Nuggets,Miami Heat,95,94
127,Toronto Raptors,Utah Jazz,109,100
128,Boston Celtics,Oklahoma City Thunder,101,94
129,Los Angeles Lakers,Brooklyn Nets,124,112
130,Memphis Grizzlies,Los Angeles Clippers,113,104
131,Detroit Pistons,Sacramento Kings,108,99
