,home,away,home_points,away_points
0,Toronto Raptors,New Orleans Pelicans,130,122
1,Los Angeles Clippers,Los Angeles Lakers,112,102
2,Charlotte Hornets,Chicago Bulls,126,125
3,Detroit Pistons,Indiana Pacers,119,110
4,Orlando Magic,Cleveland Cavaliers,94,85
5,Minnesota Timberwolves,Brooklyn Nets,127,126
6,Miami Heat,Memphis Grizzlies,120,101
7,Philadelphia 76ers,Boston Celtics,107,93
8,Dallas Mavericks,Washington Wizards,108,100
9,San Antonio Spurs,New York Knicks,120,111
10,Utah Jazz,Oklahoma City Thunder,100,95
11,Phoenix Suns,Sacramento Kings,124,95
12,Denver Nuggets,Portland Trail Blazers,108,100
13,Atlanta Hawks,Detroit Pistons,117,100
14,Milwaukee Bucks,Houston Rockets,117,111
15,Los Angeles Clippers,Golden State Warriors,141,122
16,Boston Celtics,Toronto Raptors,112,106
17,Minnesota Timberwolves,Charlotte Hornets,121,99
18,Brooklyn Nets,New York Knicks,113,109
19,Chicago Bulls,Memphis Grizzlies,110,102
20,Dallas Mavericks,New Orleans Pelicans,123,116
21,Washington Wizards,Oklahoma City Thunder,97,85
22,Denver Nuggets,Phoenix Suns,108,107
23,Portland Trail Blazers,Sacramento Kings,122,112
24,Los Angeles Lakers,Utah Jazz,95,86
25,Miami Heat,Milwaukee Bucks,131,126
26,Philadelphia 76ers,Detroit Pistons,117,111
27,Atlanta Hawks,Orlando Magic,103,99
28,Boston Celtics,New York Knicks,118,95
29,Cleveland Cavaliers,Indiana Pacers,110,99
30,Toronto Raptors,Chicago Bulls,108,84
31,Houston Rockets,New Orleans Pelicans,126,123
32,San Antonio Spurs,Washington Wizards,124,122
33,Utah Jazz,Sacramento Kings,113,81
34,Phoenix Suns,Los Angeles Clippers,130,122
35,Oklahoma City Thunder,Golden State Warriors,120,92
36,Memphis Grizzlies,Brooklyn Nets,134,133
37,Portland Trail Blazers,Dallas Mavericks,121,119
38,Minnesota Timberwolves,Miami Heat,116,109
39,Los Angeles Lakers,Charlotte Hornets,120,101
40,Detroit Pistons,Indiana Pacers,96,94
41,New York Knicks,Chicago Bulls,105,98
42,Philadelphia 76ers,Atlanta Hawks,105,103
43,Toronto Raptors,Orlando Magic,104,95
44,Houston Rockets,Oklahoma City Thunder,116,112
45,Milwaukee Bucks,Cleveland Cavaliers,129,112
46,Golden State Warriors,New Orleans Pelicans,134,123
47,San Antonio Spurs,Portland Trail Blazers,113,110
48,Utah Jazz,Phoenix Suns,96,95
49,Denver Nuggets,Sacramento Kings,101,94
50,Los Angeles Clippers,Charlotte Hornets,111,96
51,Miami Heat,Atlanta Hawks,112,97
