,home,away,home_points,away_points
0,Detroit Pistons,Atlanta Hawks,106,94
1,Chicago Bulls,Cleveland Cavaliers,97,95
2,Golden State Warriors,New Orleans Pelicans,111,95
3,Washington Wizards,Orlando Magic,88,87
4,Boston Celtics,Philadelphia 76ers,112,95
5,Chicago Bulls,Brooklyn Nets,115,100
6,Detroit Pistons,Utah Jazz,92,87
7,Miami Heat,Charlotte Hornets,104,94
8,Toronto Raptors,Indiana Pacers,106,99
9,Denver Nuggets,Houston Rockets,105,85
10,Cleveland Cavaliers,Memphis Grizzlies,106,76
11,New York Knicks,Milwaukee Bucks,122,97
12,Oklahoma City Thunder,San Antonio Spurs,112,106
13,Dallas Mavericks,Phoenix Suns,111,95
14,Portland Trail Blazers,New Orleans Pelicans,112,94
15,Los Angeles Clippers,Sacramento Kings,111,104
16,Minnesota Timberwolves,Los Angeles Lakers,112,111
17,Memphis Grizzlies,Indiana Pacers,112,103
18,Atlanta Hawks,New York Knicks,112,101
19,Los Angeles Clippers,Dallas Mavericks,104,88
20,Cleveland Cavaliers,Miami Heat,102,92
21,Oklahoma City Thunder,Orlando Magic,139,136
22,Utah Jazz,Philadelphia 76ers,99,71
23,Toronto Raptors,Boston Celtics,113,103
24,Detroit Pistons,Chicago Bulls,98,94
25,Atlanta Hawks,Charlotte Hornets,97,94
26,Washington Wizards,Milwaukee Bucks,118,113
27,San Antonio Spurs,Brooklyn Nets,102,75
28,Minnesota Timberwolves,Denver Nuggets,95,78
29,Golden State Warriors,Houston Rockets,112,92
30,Sacramento Kings,Los Angeles Lakers,132,114
31,Phoenix Suns,Portland Trail Blazers,110,92
32,Utah Jazz,Indiana Pacers,97,76
33,New York Knicks,Washington Wizards,117,110
34,Golden State Warriors,New Orleans Pelicans,134,120
35,Memphis Grizzlies,Brooklyn Nets,101,91
36,Phoenix Suns,Portland Trail Blazers,101,90
37,Los Angeles Clippers,Sacramento Kings,114,109
38,Atlanta Hawks,Charlotte Hornets,94,92
39,San Antonio Spurs,Boston Celtics,95,87
40,Miami Heat,Houston Rockets,109,89
41,Toronto Raptors,Milwaukee Bucks,106,87
42,Chicago Bulls,Orlando Magic,92,87
43,Oklahoma City Thunder,Denver Nuggets,117,93
44,Dallas Mavericks,Los Angeles Lakers,103,93
45,Cleveland Cavaliers,Philadelphia 76ers,107,100
46,Milwaukee Bucks,Brooklyn Nets,103,96
47,San Antonio Spurs,New York Knicks,94,84
48,Houston Rockets,Oklahoma City Thunder,110,105
49,Portland Trail Blazers,Minnesota Timberwolves,106,101
50,Golden State Warriors,Memphis Grizzlies,119,69
51,Los Angeles Clippers,Phoenix Suns,102,96
52,Charlotte Hornets,Chicago Bulls,130,105
53,Indiana Pacers,Detroit Pistons,94,82
54,Atlanta Hawks,Miami Heat,98,92
55,Orlando Magic,New Orleans Pelicans,103,94
56,Toronto Raptors,Dallas Mavericks,102,91
57,Memphis Grizzlies,Sacramento Kings,103,89
58,Denver Nuggets,Los Angeles Lakers,120,109
59,Indiana Pacers,Boston Celtics,100,98
60,Washington Wizards,San Antonio Spurs,102,99
61,Atlanta Hawks,Brooklyn Nets,101,87
