,home,away,home_points,away_points
176,Washington Wizards,Miami Heat,116,110
177,Chicago Bulls,Cleveland Cavaliers,99,98
178,Memphis Grizzlies,Philadelphia 76ers,112,106
179,San Antonio Spurs,Houston Rockets,96,89
180,Golden State Warriors,Brooklyn Nets,116,100
181,Dallas Mavericks,Oklahoma City Thunder,111,96
182,Los Angeles Lakers,Sacramento Kings,101,86
183,Charlotte Hornets,Detroit Pistons,113,103
184,Houston Rockets,Indiana Pacers,115,103
185,Orlando Magic,New York Knicks,115,89
186,Milwaukee Bucks,Denver Nuggets,121,114
187,Portland Trail Blazers,Boston Celtics,100,94
188,Los Angeles Lakers,Atlanta Hawks,107,106
189,Washington Wizards,Orlando Magic,117,109
190,Philadelphia 76ers,Miami Heat,124,114
191,New Orleans Pelicans,Toronto Raptors,126,110
192,Dallas Mavericks,Chicago Bulls,103,98
193,Utah Jazz,Memphis Grizzlies,96,88
194,Minnesota Timberwolves,Brooklyn Nets,120,113
195,Oklahoma City Thunder,Phoenix Suns,118,101
196,Sacramento Kings,San Antonio Spurs,104,99
197,Los Angeles Clippers,Golden State Warriors,121,116
198,Cleveland Cavaliers,Charlotte Hornets,113,89
199,Houston Rockets,Denver Nuggets,109,99
200,Golden State Warriors,Atlanta Hawks,110,103
201,Orlando Magic,Philadelphia 76ers,111,106
202,Washington Wizards,Cleveland Cavaliers,119,95
203,Boston Celtics,Chicago Bulls,111,82
204,Miami Heat,Brooklyn Nets,120,107
205,Detroit Pistons,Toronto Raptors,106,104
206,Memphis Grizzlies,Milwaukee Bucks,116,113
207,Minnesota Timberwolves,New Orleans Pelicans,107,100
208,Oklahoma City Thunder,New York Knicks,128,103
209,Dallas Mavericks,Utah Jazz,118,68
210,Phoenix Suns,San Antonio Spurs,116,96
211,Los Angeles Lakers,Portland Trail Blazers,126,117
212,Houston Rockets,Golden State Warriors,107,86
213,Denver Nuggets,Atlanta Hawks,138,93
214,Los Angeles Clippers,San Antonio Spurs,116,111
215,Boston Celtics,Toronto Raptors,123,116
216,Indiana Pacers,Miami Heat,99,91
217,Philadelphia 76ers,Utah Jazz,113,107
218,Brooklyn Nets,Washington Wizards,115,104
219,Memphis Grizzlies,Sacramento Kings,112,104
220,Minnesota Timberwolves,Portland Trail Blazers,112,96
221,New Orleans Pelicans,New York Knicks,129,124
222,Milwaukee Bucks,Chicago Bulls,123,104
223,Los Angeles Clippers,Brooklyn Nets,127,119
224,Philadelphia 76ers,Charlotte Hornets,122,119
225,Indiana Pacers,Atlanta Hawks,97,89
226,Orlando Magic,Los Angeles Lakers,130,117
227,New Orleans Pelicans,Denver Nuggets,125,115
228,Utah Jazz,Boston Celtics,98,86
229,Toronto Raptors,Chicago Bulls,122,83
230,Houston Rockets,Sacramento Kings,132,112
231,Dallas Mavericks,Golden State Warriors,112,109
232,Oklahoma City Thunder,Phoenix Suns,110,100
233,Memphis Grizzlies,Minnesota Timberwolves,100,87
234,Los Angeles Lakers,Miami Heat,113,97
235,Orlando Magic,New York Knicks,131,117
236,Portland Trail Blazers,Washington Wizards,119,109
237,San Antonio Spurs,Golden State Warriors,104,92
238,Charlotte Hornets,Boston Celtics,117,112
239,Detroit Pistons,Cleveland Cavaliers,113,102
240,Indiana Pacers,Utah Jazz,121,94
241,Philadelphia 76ers,Phoenix Suns,119,114
242,Los Angeles Clippers,Atlanta Hawks,127,119
243,Memphis Grizzlies,Dallas Mavericks,98,88
244,Milwaukee Bucks,Denver Nuggets,104,98
245,New Orleans Pelicans,San Antonio Spurs,140,126
246,Sacramento Kings,Oklahoma City Thunder,117,113
247,Toronto Raptors,Orlando Magic,93,91
248,Washington Wizards,Los Angeles Clippers,125,118
249,Brooklyn Nets,Miami Heat,104,92
250,Portland Trail Blazers,New York Knicks,118,114
251,Charlotte Hornets,Indiana Pacers,127,109
252,Philadelphia 76ers,New Orleans Pelicans,121,120
253,Toronto Raptors,Atlanta Hawks,124,108
254,New York Knicks,Boston Celtics,117,109
255,Los Angeles Lakers,Cleveland Cavaliers,109,105
256,Chicago Bulls,Phoenix Suns,124,116
257,Houston Rockets,Detroit Pistons,126,124
258,Milwaukee Bucks,Portland Trail Blazers,143,100
259,Denver Nuggets,Minnesota Timberwolves,103,101
260,Dallas Mavericks,Brooklyn Nets,119,113
261,Memphis Grizzlies,San Antonio Spurs,104,103
262,Sacramento Kings,Utah Jazz,119,110
263,Oklahoma City Thunder,Golden State Warriors,123,95
264,Minnesota Timberwolves,Brooklyn Nets,112,102
265,Los Angeles Clippers,Memphis Grizzlies,112,107
266,Detroit Pistons,Houston Rockets,116,111
267,Boston Celtics,Atlanta Hawks,114,96
268,New York Knicks,New Orleans Pelicans,114,109
269,Cleveland Cavaliers,Philadelphia 76ers,121,112
270,Toronto Raptors,Washington Wizards,125,107
271,San Antonio Spurs,Indiana Pacers,111,100
272,Miami Heat,Chicago Bulls,103,96
273,Oklahoma City Thunder,Charlotte Hornets,109,104
274,Phoenix Suns,Milwaukee Bucks,116,114
275,Denver Nuggets,Orlando Magic,112,87
276,Golden State Warriors,Portland Trail Blazers,125,97
277,Los Angeles Lakers,Utah Jazz,90,83
278,Cleveland Cavaliers,Houston Rockets,117,108
279,Washington Wizards,New Orleans Pelicans,124,114
280,Minnesota Timberwolves,Chicago Bulls,111,96
281,Denver Nuggets,Oklahoma City Thunder,105,98
282,Dallas Mavericks,Boston Celtics,113,104
283,Milwaukee Bucks,San Antonio Spurs,135,129
284,Golden State Warriors,Sacramento Kings,117,116
285,Orlando Magic,Los Angeles Lakers,108,104
286,Detroit Pistons,Phoenix Suns,118,107
287,Atlanta Hawks,Charlotte Hornets,124,123
288,Philadelphia 76ers,Brooklyn Nets,127,125
289,Toronto Raptors,Miami Heat,125,115
290,New York Knicks,Memphis Grizzlies,103,98
291,Utah Jazz,Sacramento Kings,133,112
292,Los Angeles Clippers,Portland Trail Blazers,104,100
293,Charlotte Hornets,Milwaukee Bucks,110,107
294,Minnesota Timberwolves,Cleveland Cavaliers,102,95
295,Washington Wizards,Houston Rockets,135,131
296,San Antonio Spurs,Chicago Bulls,108,107
297,Boston Celtics,New Orleans Pelicans,124,107
298,Indiana Pacers,Utah Jazz,121,88
299,Golden State Warriors,Orlando Magic,116,110
300,Detroit Pistons,New York Knicks,115,108
301,Atlanta Hawks,Miami Heat,115,113
302,Toronto Raptors,Memphis Grizzlies,122,114
303,Denver Nuggets,Los Angeles Lakers,117,85
304,Indiana Pacers,Phoenix Suns,109,104
305,Charlotte Hornets,Atlanta Hawks,108,94
306,Philadelphia 76ers,New York Knicks,117,91
307,Utah Jazz,Brooklyn Nets,101,91
308,Dallas Mavericks,Houston Rockets,128,108
309,Milwaukee Bucks,Chicago Bulls,116,113
310,Minnesota Timberwolves,San Antonio Spurs,128,89
311,New Orleans Pelicans,Washington Wizards,125,104
312,Oklahoma City Thunder,Cleveland Cavaliers,100,83
313,Portland Trail Blazers,Orlando Magic,115,112
314,Los Angeles Clippers,Phoenix Suns,115,99
315,Toronto Raptors,Golden State Warriors,131,128
316,Los Angeles Lakers,Indiana Pacers,104,96
317,Los Angeles Clippers,Sacramento Kings,133,121
318,Boston Celtics,Cleveland Cavaliers,128,95
319,Utah Jazz,Charlotte Hornets,119,111
320,Detroit Pistons,Chicago Bulls,107,88
321,Philadelphia 76ers,Washington Wizards,123,98
322,Memphis Grizzlies,Brooklyn Nets,131,125
323,Miami Heat,New Orleans Pelicans,106,101
324,Oklahoma City Thunder,Atlanta Hawks,124,109
325,Houston Rockets,San Antonio Spurs,136,105
326,Orlando Magic,Phoenix Suns,99,85
327,Los Angeles Lakers,Dallas Mavericks,114,103
328,Denver Nuggets,Portland Trail Blazers,113,112
329,New York Knicks,Milwaukee Bucks,136,134
330,Detroit Pistons,Golden State Warriors,111,102
331,Washington Wizards,Brooklyn Nets,102,88
332,Toronto Raptors,Cleveland Cavaliers,106,95
333,Houston Rockets,Chicago Bulls,121,105
334,Boston Celtics,Minnesota Timberwolves,118,109
335,Sacramento Kings,Indiana Pacers,111,110
336,Los Angeles Lakers,Phoenix Suns,120,96
337,New Orleans Pelicans,Charlotte Hornets,119,109
338,Miami Heat,Utah Jazz,102,100
339,Philadelphia 76ers,Memphis Grizzlies,103,95
340,Dallas Mavericks,Los Angeles Clippers,114,110
341,San Antonio Spurs,Portland Trail Blazers,131,118
342,Oklahoma City Thunder,Detroit Pistons,110,83
343,Golden State Warriors,Atlanta Hawks,128,111
344,Cleveland Cavaliers,Brooklyn Nets,99,97
345,Washington Wizards,New York Knicks,110,107
346,Denver Nuggets,Toronto Raptors,106,103
347,Minnesota Timberwolves,Houston Rockets,103,91
348,Los Angeles Clippers,New Orleans Pelicans,129,126
349,Indiana Pacers,Chicago Bulls,96,90
350,Orlando Magic,Miami Heat,105,90
351,Dallas Mavericks,Portland Trail Blazers,111,102
352,Sacramento Kings,Phoenix Suns,122,105
353,Utah Jazz,San Antonio Spurs,139,105
354,Golden State Warriors,Cleveland Cavaliers,129,105
355,Denver Nuggets,Orlando Magic,124,118
356,Washington Wizards,Atlanta Hawks,131,117
357,Oklahoma City Thunder,Brooklyn Nets,114,112
358,Toronto Raptors,Philadelphia 76ers,113,102
359,Memphis Grizzlies,Los Angeles Clippers,96,86
360,Milwaukee Bucks,Detroit Pistons,115,92
361,Minnesota Timberwolves,Charlotte Hornets,121,104
362,New Orleans Pelicans,Dallas Mavericks,132,106
363,Los Angeles Lakers,San Antonio Spurs,121,113
364,Boston Celtics,New York Knicks,128,100
365,Portland Trail Blazers,Phoenix Suns,108,86
366,Utah Jazz,Houston Rockets,118,91
367,Charlotte Hornets,Denver Nuggets,113,107
368,Philadelphia 76ers,Detroit Pistons,117,111
369,Indiana Pacers,Orlando Magic,112,90
370,Brooklyn Nets,Toronto Raptors,106,105
371,Sacramento Kings,Cleveland Cavaliers,129,110
372,Chicago Bulls,Oklahoma City Thunder,114,112
373,Memphis Grizzlies,New Orleans Pelicans,107,103
374,San Antonio Spurs,Los Angeles Lakers,133,120
375,Miami Heat,Phoenix Suns,115,98
376,Golden State Warriors,Milwaukee Bucks,105,95
377,Dallas Mavericks,Houston Rockets,107,104
378,Indiana Pacers,Sacramento Kings,107,97
379,Atlanta Hawks,Denver Nuggets,106,98
380,Cleveland Cavaliers,Washington Wizards,116,101
381,Brooklyn Nets,New York Knicks,112,104
382,Boston Celtics,Chicago Bulls,133,77
383,Los Angeles Lakers,Memphis Grizzlies,111,88
384,Portland Trail Blazers,Minnesota Timberwolves,113,105
385,Miami Heat,Los Angeles Clippers,121,98
386,New Orleans Pelicans,Detroit Pistons,116,108
387,Milwaukee Bucks,Toronto Raptors,104,99
388,San Antonio Spurs,Utah Jazz,110,97
389,Charlotte Hornets,New York Knicks,119,107
390,Indiana Pacers,Washington Wizards,109,101
391,Philadelphia 76ers,Detroit Pistons,116,102
392,Boston Celtics,New Orleans Pelicans,113,100
393,Sacramento Kings,Chicago Bulls,108,89
394,Milwaukee Bucks,Cleveland Cavaliers,108,92
395,Oklahoma City Thunder,Utah Jazz,122,113
396,Dallas Mavericks,Orlando Magic,101,76
397,Denver Nuggets,Memphis Grizzlies,105,99
398,Los Angeles Clippers,Phoenix Suns,123,119
399,Golden State Warriors,Minnesota Timberwolves,116,108
400,Los Angeles Lakers,Miami Heat,108,105
401,Houston Rockets,Portland Trail Blazers,111,104
402,San Antonio Spurs,Phoenix Suns,111,86
403,Toronto Raptors,Los Angeles Clippers,123,99
404,Charlotte Hornets,Detroit Pistons,108,107
405,Cleveland Cavaliers,New York Knicks,113,106
406,Indiana Pacers,Milwaukee Bucks,113,97
407,Brooklyn Nets,Philadelphia 76ers,127,124
408,Boston Celtics,Washington Wizards,130,125
409,Memphis Grizzlies,Portland Trail Blazers,92,83
410,New Orleans Pelicans,Oklahoma City Thunder,118,114
411,Dallas Mavericks,Atlanta Hawks,114,107
412,Utah Jazz,Miami Heat,111,84
413,Sacramento Kings,Minnesota Timberwolves,141,130
414,Toronto Raptors,Golden State Warriors,113,93
415,Houston Rockets,Los Angeles Lakers,126,111
416,San Antonio Spurs,Los Angeles Clippers,125,87
417,Orlando Magic,Chicago Bulls,97,91
418,Phoenix Suns,Dallas Mavericks,99,89
419,Boston Celtics,Atlanta Hawks,129,108
420,New York Knicks,Charlotte Hornets,126,124
421,Brooklyn Nets,Washington Wizards,125,118
422,Milwaukee Bucks,Cleveland Cavaliers,114,102
423,Indiana Pacers,Philadelphia 76ers,113,101
424,Miami Heat,Memphis Grizzlies,100,97
425,Denver Nuggets,Oklahoma City Thunder,109,98
426,Portland Trail Blazers,Toronto Raptors,128,122
427,Golden State Warriors,Sacramento Kings,130,125
428,Orlando Magic,Utah Jazz,96,89
429,Los Angeles Lakers,Charlotte Hornets,128,100
430,Detroit Pistons,Boston Celtics,113,104
431,Houston Rockets,Memphis Grizzlies,105,97
432,Chicago Bulls,San Antonio Spurs,98,93
433,Oklahoma City Thunder,Los Angeles Clippers,110,104
434,Phoenix Suns,Minnesota Timberwolves,107,99
435,Brooklyn Nets,Atlanta Hawks,144,127
436,Philadelphia 76ers,Cleveland Cavaliers,128,105
437,Indiana Pacers,New York Knicks,110,99
438,Washington Wizards,Los Angeles Lakers,128,110
439,Sacramento Kings,Dallas Mavericks,120,113
440,Miami Heat,New Orleans Pelicans,102,96
441,Denver Nuggets,Toronto Raptors,95,86
442,Milwaukee Bucks,Detroit Pistons,107,104
443,Phoenix Suns,New York Knicks,128,110
444,Houston Rockets,Utah Jazz,102,97
445,Minnesota Timberwolves,Sacramento Kings,132,105
446,Oklahoma City Thunder,Chicago Bulls,121,96
447,San Antonio Spurs,Philadelphia 76ers,123,96
448,Golden State Warriors,Memphis Grizzlies,110,93
449,Portland Trail Blazers,Los Angeles Clippers,131,127
450,Cleveland Cavaliers,Indiana Pacers,92,91
451,Atlanta Hawks,Washington Wizards,118,110
452,Brooklyn Nets,Los Angeles Lakers,115,110
453,Denver Nuggets,Dallas Mavericks,126,118
454,Charlotte Hornets,Cleveland Cavaliers,110,99
455,San Antonio Spurs,Orlando Magic,129,90
456,Philadelphia 76ers,New York Knicks,131,109
457,Phoenix Suns,Boston Celtics,111,103
458,Toronto Raptors,Indiana Pacers,99,96
459,Brooklyn Nets,Chicago Bulls,96,93
460,Houston Rockets,Washington Wizards,136,118
461,Milwaukee Bucks,New Orleans Pelicans,123,115
462,Detroit Pistons,Minnesota Timberwolves,129,123
463,Utah Jazz,Golden State Warriors,108,103
464,Portland Trail Blazers,Memphis Grizzlies,99,92
465,Oklahoma City Thunder,Sacramento Kings,132,113
466,Miami Heat,Houston Rockets,101,99
467,Los Angeles Clippers,Dallas Mavericks,125,121
468,Charlotte Hornets,Detroit Pistons,98,86
469,Toronto Raptors,Cleveland Cavaliers,126,110
470,Indiana Pacers,Brooklyn Nets,114,106
471,Atlanta Hawks,New York Knicks,114,107
472,Milwaukee Bucks,Boston Celtics,120,107
473,Chicago Bulls,Orlando Magic,90,80
474,San Antonio Spurs,Minnesota Timberwolves,124,98
475,Utah Jazz,Portland Trail Blazers,120,90
476,Sacramento Kings,Memphis Grizzlies,102,99
477,Los Angeles Lakers,New Orleans Pelicans,112,104
478,Los Angeles Clippers,Denver Nuggets,132,111
479,Washington Wizards,Phoenix Suns,149,146
480,Philadelphia 76ers,Toronto Raptors,126,101
481,Miami Heat,Milwaukee Bucks,94,87
482,Houston Rockets,San Antonio Spurs,108,101
483,Golden State Warriors,Dallas Mavericks,120,116
484,Oklahoma City Thunder,Utah Jazz,107,106
485,Atlanta Hawks,Detroit Pistons,98,95
486,Indiana Pacers,Washington Wizards,105,89
487,Boston Celtics,Charlotte Hornets,119,103
488,Brooklyn Nets,Phoenix Suns,111,103
489,Chicago Bulls,Cleveland Cavaliers,112,92
490,Miami Heat,Orlando Magic,115,91
491,Sacramento Kings,New Orleans Pelicans,122,117
492,Minnesota Timberwolves,Oklahoma City Thunder,114,112
493,Golden State Warriors,Los Angeles Clippers,129,127
494,Portland Trail Blazers,Dallas Mavericks,121,118
495,Memphis Grizzlies,Los Angeles Lakers,107,99
496,Milwaukee Bucks,New York Knicks,109,95
497,Houston Rockets,Oklahoma City Thunder,113,109
498,Boston Celtics,Philadelphia 76ers,121,114
499,Los Angeles Lakers,Golden State Warriors,127,101
500,Utah Jazz,Portland Trail Blazers,117,96
501,Detroit Pistons,Washington Wizards,106,95
502,Phoenix Suns,Orlando Magic,122,120
503,Indiana Pacers,Atlanta Hawks,129,121
504,Brooklyn Nets,Charlotte Hornets,134,132
505,Toronto Raptors,Miami Heat,106,104
506,Minnesota Timberwolves,Chicago Bulls,119,94
507,Memphis Grizzlies,Cleveland Cavaliers,95,87
508,Dallas Mavericks,New Orleans Pelicans,122,119
509,San Antonio Spurs,Denver Nuggets,111,103
510,Los Angeles Clippers,Sacramento Kings,127,118
511,Houston Rockets,Boston Celtics,127,113
512,Milwaukee Bucks,New York Knicks,112,96
513,Sacramento Kings,Los Angeles Lakers,117,116
514,Philadelphia 76ers,Utah Jazz,114,97
515,Portland Trail Blazers,Golden State Warriors,110,109
516,Charlotte Hornets,Brooklyn Nets,100,87
517,Indiana Pacers,Detroit Pistons,125,88
518,Orlando Magic,Toronto Raptors,116,87
519,Chicago Bulls,Washington Wizards,101,92
520,Miami Heat,Cleveland Cavaliers,118,94
521,Atlanta Hawks,Minnesota Timberwolves,123,120
522,New Orleans Pelicans,Dallas Mavericks,114,112
523,Denver Nuggets,San Antonio Spurs,102,99
524,Oklahoma City Thunder,Phoenix Suns,118,102
525,Los Angeles Clippers,Los Angeles Lakers,118,107
526,Milwaukee Bucks,Brooklyn Nets,129,115
527,Houston Rockets,New Orleans Pelicans,108,104
528,Washington Wizards,Charlotte Hornets,130,126
529,Atlanta Hawks,Cleveland Cavaliers,111,108
530,Boston Celtics,Memphis Grizzlies,112,103
531,Utah Jazz,New York Knicks,129,97
532,Denver Nuggets,Phoenix Suns,122,118
533,Golden State Warriors,Portland Trail Blazers,115,105
534,San Antonio Spurs,Los Angeles Clippers,122,111
535,Orlando Magic,Detroit Pistons,109,107
536,Minnesota Timberwolves,Miami Heat,113,104
537,Toronto Raptors,Chicago Bulls,95,89
538,Dallas Mavericks,Oklahoma City Thunder,105,103
539,Portland Trail Blazers,Philadelphia 76ers,129,95
540,Los Angeles Lakers,Sacramento Kings,121,114
541,Indiana Pacers,Atlanta Hawks,116,108
542,Charlotte Hornets,Orlando Magic,125,100
543,Houston Rockets,Memphis Grizzlies,113,101
544,San Antonio Spurs,Boston Celtics,120,111
545,New Orleans Pelicans,Minnesota Timberwolves,123,114
546,Oklahoma City Thunder,Dallas Mavericks,122,102
547,Golden State Warriors,Phoenix Suns,132,109
548,Toronto Raptors,Utah Jazz,122,116
549,Milwaukee Bucks,Detroit Pistons,121,98
550,Denver Nuggets,New York Knicks,115,108
551,Portland Trail Blazers,Sacramento Kings,113,108
