,home,away,home_points,away_points
0,Boston Celtics,Philadelphia 76ers,105,87
1,Golden State Warriors,Oklahoma City Thunder,108,100
2,Milwaukee Bucks,Charlotte Hornets,113,112
3,Detroit Pistons,Brooklyn Nets,103,100
4,Indiana Pacers,Memphis Grizzlies,111,83
5,Orlando Magic,Miami Heat,104,101
6,New York Knicks,Atlanta Hawks,126,107
7,Toronto Raptors,Cleveland Cavaliers,116,104
8,New Orleans Pelicans,Houston Rockets,131,112
9,San Antonio Spurs,Minnesota Timberwolves,112,108
10,Utah Jazz,Sacramento Kings,123,117
11,Denver Nuggets,Los Angeles Clippers,107,98
12,Phoenix Suns,Dallas Mavericks,121,100
13,Philadelphia 76ers,Chicago Bulls,127,108
14,Miami Heat,Washington Wizards,113,112
15,Portland Trail Blazers,Los Angeles Lakers,128,119
16,Charlotte Hornets,Orlando Magic,120,88
17,Brooklyn Nets,New York Knicks,107,105
18,Toronto Raptors,Boston Celtics,113,101
19,Memphis Grizzlies,Atlanta Hawks,131,117
20,Minnesota Timberwolves,Cleveland Cavaliers,131,123
21,New Orleans Pelicans,Sacramento Kings,149,129
22,Milwaukee Bucks,Indiana Pacers,118,101
23,Golden State Warriors,Utah Jazz,124,123
24,Los Angeles Clippers,Oklahoma City Thunder,108,92
25,Indiana Pacers,Brooklyn Nets,132,112
26,Toronto Raptors,Washington Wizards,117,113
27,Boston Celtics,New York Knicks,103,101
28,Philadelphia 76ers,Orlando Magic,116,115
29,Charlotte Hornets,Miami Heat,113,112
30,Detroit Pistons,Chicago Bulls,118,116
31,Dallas Mavericks,Minnesota Timberwolves,140,136
32,Denver Nuggets,Phoenix Suns,119,91
33,Portland Trail Blazers,San Antonio Spurs,121,108
34,Houston Rockets,Los Angeles Lakers,124,115
35,Atlanta Hawks,Cleveland Cavaliers,133,111
36,Sacramento Kings,Oklahoma City Thunder,131,120
37,Denver Nuggets,Golden State Warriors,100,98
38,Los Angeles Clippers,Houston Rockets,115,112
39,Orlando Magic,Boston Celtics,93,90
40,Toronto Raptors,Charlotte Hornets,127,106
41,Milwaukee Bucks,New York Knicks,124,113
42,Minnesota Timberwolves,Indiana Pacers,101,91
43,Dallas Mavericks,Chicago Bulls,115,109
44,Memphis Grizzlies,Utah Jazz,92,84
45,Washington Wizards,Portland Trail Blazers,125,124
46,Golden State Warriors,Phoenix Suns,123,103
47,San Antonio Spurs,Los Angeles Lakers,143,142
48,Detroit Pistons,Philadelphia 76ers,133,132
49,New Orleans Pelicans,Los Angeles Clippers,116,109
50,Denver Nuggets,Sacramento Kings,126,112
51,Atlanta Hawks,Dallas Mavericks,111,104
52,Brooklyn Nets,Cleveland Cavaliers,102,86
53,Miami Heat,New York Knicks,110,87
54,Toronto Raptors,Minnesota Timberwolves,112,105
55,Chicago Bulls,Charlotte Hornets,112,110
56,Utah Jazz,Houston Rockets,100,89
57,Indiana Pacers,San Antonio Spurs,116,96
58,Milwaukee Bucks,Philadelphia 76ers,123,108
59,Los Angeles Lakers,Phoenix Suns,131,113
60,Sacramento Kings,Memphis Grizzlies,97,92
61,Golden State Warriors,Washington Wizards,144,122
62,Detroit Pistons,Cleveland Cavaliers,110,103
63,Portland Trail Blazers,Orlando Magic,128,114
64,Boston Celtics,Oklahoma City Thunder,101,95
65,Los Angeles Lakers,Denver Nuggets,121,114
66,Charlotte Hornets,Chicago Bulls,135,106
67,Golden State Warriors,New York Knicks,128,100
68,Toronto Raptors,Dallas Mavericks,116,107
69,Los Angeles Clippers,Houston Rockets,133,113
70,Milwaukee Bucks,Minnesota Timberwolves,125,95
71,New Orleans Pelicans,Brooklyn Nets,117,115
72,Sacramento Kings,Washington Wizards,116,112
73,Boston Celtics,Detroit Pistons,109,89
74,Utah Jazz,New Orleans Pelicans,132,111
75,Chicago Bulls,Atlanta Hawks,97,85
76,Indiana Pacers,Cleveland Cavaliers,119,107
77,Philadelphia 76ers,Charlotte Hornets,105,103
78,Miami Heat,Portland Trail Blazers,120,111
79,Memphis Grizzlies,Phoenix Suns,117,96
80,Milwaukee Bucks,Orlando Magic,113,91
81,San Antonio Spurs,Los Angeles Lakers,110,106
82,Golden State Warriors,Brooklyn Nets,120,114
83,Utah Jazz,Dallas Mavericks,113,104
84,Oklahoma City Thunder,Phoenix Suns,117,110
85,Los Angeles Clippers,Washington Wizards,136,104
86,Portland Trail Blazers,Indiana Pacers,103,93
87,Philadelphia 76ers,Atlanta Hawks,113,92
88,Sacramento Kings,Miami Heat,123,113
89,New York Knicks,Brooklyn Nets,115,96
90,Golden State Warriors,Chicago Bulls,149,124
91,Milwaukee Bucks,Toronto Raptors,124,109
92,Minnesota Timberwolves,Los Angeles Lakers,124,120
93,San Antonio Spurs,Dallas Mavericks,113,108
94,Denver Nuggets,New Orleans Pelicans,116,111
95,Charlotte Hornets,Miami Heat,125,113
96,Cleveland Cavaliers,Atlanta Hawks,136,114
97,Sacramento Kings,Orlando Magic,107,99
98,Boston Celtics,Detroit Pistons,108,105
99,Toronto Raptors,Philadelphia 76ers,129,112
100,Portland Trail Blazers,Houston Rockets,104,85
101,Memphis Grizzlies,Washington Wizards,107,95
102,Oklahoma City Thunder,Los Angeles Clippers,128,110
103,Brooklyn Nets,Detroit Pistons,120,119
104,Indiana Pacers,New York Knicks,107,101
105,Denver Nuggets,Chicago Bulls,108,107
106,Minnesota Timberwolves,Utah Jazz,128,125
107,Golden State Warriors,New Orleans Pelicans,131,121
108,Los Angeles Lakers,Dallas Mavericks,114,113
109,San Antonio Spurs,Phoenix Suns,120,90
110,Oklahoma City Thunder,Charlotte Hornets,111,107
111,Denver Nuggets,Cleveland Cavaliers,110,91
112,Philadelphia 76ers,Los Angeles Clippers,122,113
113,Sacramento Kings,Atlanta Hawks,146,115
114,Boston Celtics,Milwaukee Bucks,117,113
115,Portland Trail Blazers,New Orleans Pelicans,132,119
116,Los Angeles Clippers,Orlando Magic,120,95
117,Houston Rockets,Brooklyn Nets,119,111
118,Oklahoma City Thunder,Washington Wizards,134,111
119,Indiana Pacers,Chicago Bulls,107,105
120,New York Knicks,Dallas Mavericks,118,106
121,Memphis Grizzlies,Utah Jazz,110,100
122,Toronto Raptors,Phoenix Suns,107,98
123,Golden State Warriors,Minnesota Timberwolves,116,99
124,Philadelphia 76ers,Detroit Pistons,109,99
125,Charlotte Hornets,Cleveland Cavaliers,126,94
126,Indiana Pacers,Boston Celtics,102,101
127,Atlanta Hawks,Miami Heat,123,118
128,Houston Rockets,Chicago Bulls,96,88
129,San Antonio Spurs,New Orleans Pelicans,109,95
130,Denver Nuggets,Utah Jazz,103,88
131,Los Angeles Lakers,Portland Trail Blazers,114,110
132,Milwaukee Bucks,Sacramento Kings,144,109
133,Brooklyn Nets,Philadelphia 76ers,122,97
134,Washington Wizards,New York Knicks,108,95
135,Orlando Magic,San Antonio Spurs,117,110
136,Phoenix Suns,Memphis Grizzlies,102,100
137,Portland Trail Blazers,Minnesota Timberwolves,111,81
138,Toronto Raptors,Los Angeles Lakers,121,107
139,Miami Heat,Detroit Pistons,120,115
140,Houston Rockets,Indiana Pacers,98,94
141,Orlando Magic,Cleveland Cavaliers,102,100
142,Chicago Bulls,New York Knicks,116,115
143,Oklahoma City Thunder,New Orleans Pelicans,122,116
144,Denver Nuggets,Boston Celtics,115,107
145,Toronto Raptors,Utah Jazz,124,111
146,Golden State Warriors,Memphis Grizzlies,117,101
147,Los Angeles Clippers,Minnesota Timberwolves,120,109
148,Charlotte Hornets,Atlanta Hawks,113,102
149,Dallas Mavericks,Washington Wizards,119,100
150,Brooklyn Nets,Phoenix Suns,104,82
151,Portland Trail Blazers,Milwaukee Bucks,118,103
152,Oklahoma City Thunder,Cleveland Cavaliers,95,86
153,Detroit Pistons,Orlando Magic,103,96
154,New York Knicks,Atlanta Hawks,112,107
155,Miami Heat,San Antonio Spurs,95,88
156,Philadelphia 76ers,Indiana Pacers,100,94
157,Memphis Grizzlies,Denver Nuggets,89,87
158,New Orleans Pelicans,Chicago Bulls,107,98
159,Utah Jazz,Dallas Mavericks,117,102
160,Toronto Raptors,Sacramento Kings,114,105
161,Los Angeles Lakers,Minnesota Timberwolves,114,110
162,Oklahoma City Thunder,Houston Rockets,98,80
163,Boston Celtics,Phoenix Suns,116,109
164,Portland Trail Blazers,Los Angeles Clippers,116,105
165,Milwaukee Bucks,Golden State Warriors,134,111
166,Orlando Magic,Washington Wizards,117,108
167,Philadelphia 76ers,Charlotte Hornets,133,132
168,Detroit Pistons,Atlanta Hawks,124,109
169,Indiana Pacers,Miami Heat,110,102
170,Brooklyn Nets,Denver Nuggets,112,110
171,Utah Jazz,Boston Celtics,123,115
172,Sacramento Kings,Minnesota Timberwolves,121,110
173,Toronto Raptors,New York Knicks,128,112
174,Los Angeles Clippers,Milwaukee Bucks,128,126
175,New Orleans Pelicans,Phoenix Suns,119,99
