,home,away,home_points,away_points
0,Boston Celtics,Miami Heat,88,80
1,Los Angeles Lakers,Houston Rockets,112,110
2,Portland Trail Blazers,Phoenix Suns,106,92
3,Cleveland Cavaliers,Boston Celtics,95,87
4,Dallas Mavericks,Charlotte Bobcats,101,86
5,Denver Nuggets,Utah Jazz,110,88
6,Golden State Warriors,Houston Rockets,132,128
7,Portland Trail Blazers,Los Angeles Clippers,98,88
8,Atlanta Hawks,Memphis Grizzlies,119,104
9,Sacramento Kings,Minnesota Timberwolves,117,116
10,New Jersey Nets,Detroit Pistons,101,98
11,New Orleans Hornets,Milwaukee Bucks,95,91
12,Oklahoma City Thunder,Chicago Bulls,106,95
13,Miami Heat,Philadelphia 76ers,97,87
14,San Antonio Spurs,Indiana Pacers,122,109
15,New York Knicks,Toronto Raptors,98,93
16,Orlando Magic,Washington Wizards,112,83
17,Phoenix Suns,Utah Jazz,110,94
18,Boston Celtics,New York Knicks,105,101
19,Indiana Pacers,Charlotte Bobcats,104,101
20,Memphis Grizzlies,Dallas Mavericks,91,90
21,Oklahoma City Thunder,Detroit Pistons,105,104
22,Golden State Warriors,Los Angeles Clippers,109,91
23,Miami Heat,Orlando Magic,96,70
24,Minnesota Timberwolves,Milwaukee Bucks,96,85
25,New Jersey Nets,Sacramento Kings,106,100
26,New Orleans Hornets,Denver Nuggets,101,95
27,Atlanta Hawks,Philadelphia 76ers,104,101
28,Los Angeles Lakers,Phoenix Suns,114,106
29,Toronto Raptors,Cleveland Cavaliers,101,81
30,Atlanta Hawks,Washington Wizards,99,95
31,Chicago Bulls,Detroit Pistons,101,91
32,Sacramento Kings,Cleveland Cavaliers,107,104
33,Denver Nuggets,Houston Rockets,107,94
34,Indiana Pacers,Philadelphia 76ers,99,86
35,Memphis Grizzlies,Minnesota Timberwolves,109,89
36,Milwaukee Bucks,Charlotte Bobcats,98,88
37,Portland Trail Blazers,New York Knicks,100,95
38,New Orleans Hornets,San Antonio Spurs,99,90
39,Dallas Mavericks,Los Angeles Clippers,99,83
40,Los Angeles Lakers,Golden State Warriors,107,83
41,Miami Heat,New Jersey Nets,101,78
42,Utah Jazz,Oklahoma City Thunder,120,99
43,Chicago Bulls,Portland Trail Blazers,110,98
44,San Antonio Spurs,Los Angeles Clippers,97,88
45,Sacramento Kings,Toronto Raptors,111,108
46,Atlanta Hawks,Cleveland Cavaliers,100,88
47,Boston Celtics,Detroit Pistons,109,86
48,Los Angeles Lakers,Memphis Grizzlies,124,105
49,Miami Heat,Minnesota Timberwolves,129,97
50,Portland Trail Blazers,Milwaukee Bucks,90,76
51,Washington Wizards,Philadelphia 76ers,116,115
52,Atlanta Hawks,Detroit Pistons,94,85
53,Boston Celtics,Milwaukee Bucks,105,102
54,Dallas Mavericks,Denver Nuggets,102,101
55,Golden State Warriors,Memphis Grizzlies,115,109
56,New Orleans Hornets,Houston Rockets,107,99
57,Los Angeles Clippers,Oklahoma City Thunder,107,92
58,Charlotte Bobcats,New Jersey Nets,85,83
59,Orlando Magic,Minnesota Timberwolves,128,86
60,Philadelphia 76ers,Indiana Pacers,101,75
61,San Antonio Spurs,Phoenix Suns,112,110
62,Los Angeles Lakers,Sacramento Kings,112,100
63,Utah Jazz,Toronto Raptors,125,108
64,New York Knicks,Chicago Bulls,120,112
65,Oklahoma City Thunder,Portland Trail Blazers,107,106
66,Boston Celtics,Chicago Bulls,110,105
67,Denver Nuggets,Los Angeles Clippers,111,104
68,Detroit Pistons,Charlotte Bobcats,97,90
69,Golden State Warriors,Utah Jazz,85,78
70,Milwaukee Bucks,Indiana Pacers,94,90
71,Los Angeles Lakers,Toronto Raptors,108,103
72,Atlanta Hawks,Minnesota Timberwolves,113,103
73,New Orleans Hornets,Miami Heat,96,93
74,New York Knicks,Washington Wizards,112,91
75,Orlando Magic,New Jersey Nets,105,90
76,Cleveland Cavaliers,Philadelphia 76ers,123,116
77,Phoenix Suns,Memphis Grizzlies,123,118
78,Orlando Magic,Charlotte Bobcats,91,88
79,Denver Nuggets,Dallas Mavericks,103,92
80,Miami Heat,New Jersey Nets,101,89
81,New Orleans Hornets,Milwaukee Bucks,87,81
82,Portland Trail Blazers,Toronto Raptors,97,84
83,Memphis Grizzlies,Sacramento Kings,100,91
84,San Antonio Spurs,Houston Rockets,124,121
85,Utah Jazz,Los Angeles Clippers,109,107
86,Cleveland Cavaliers,Washington Wizards,107,102
87,Phoenix Suns,Atlanta Hawks,118,114
88,Detroit Pistons,Golden State Warriors,102,97
89,Houston Rockets,Minnesota Timberwolves,120,94
90,Los Angeles Lakers,Portland Trail Blazers,121,96
91,Philadelphia 76ers,New York Knicks,106,96
92,Boston Celtics,Oklahoma City Thunder,92,83
93,San Antonio Spurs,Charlotte Bobcats,95,91
94,Chicago Bulls,Denver Nuggets,94,92
95,Dallas Mavericks,Boston Celtics,89,87
96,Memphis Grizzlies,Phoenix Suns,109,99
