,home,away,home_points,away_points
0,Cleveland Cavaliers,Washington Wizards,94,84
1,Miami Heat,Boston Celtics,120,107
2,Dallas Mavericks,Los Angeles Lakers,99,91
3,Indiana Pacers,Toronto Raptors,90,88
4,Philadelphia 76ers,Denver Nuggets,84,75
5,Houston Rockets,Detroit Pistons,105,96
6,Chicago Bulls,Sacramento Kings,93,87
7,San Antonio Spurs,New Orleans Hornets,99,95
8,Utah Jazz,Dallas Mavericks,113,94
9,Golden State Warriors,Phoenix Suns,87,85
10,Los Angeles Clippers,Memphis Grizzlies,101,92
11,Portland Trail Blazers,Los Angeles Lakers,116,106
12,San Antonio Spurs,Oklahoma City Thunder,86,84
13,Charlotte Bobcats,Indiana Pacers,90,89
14,Orlando Magic,Denver Nuggets,102,89
15,Milwaukee Bucks,Boston Celtics,99,88
16,Houston Rockets,Atlanta Hawks,109,102
17,Chicago Bulls,Cleveland Cavaliers,115,86
18,New York Knicks,Miami Heat,104,84
19,New Orleans Hornets,Utah Jazz,88,86
20,Oklahoma City Thunder,Portland Trail Blazers,106,92
21,Minnesota Timberwolves,Sacramento Kings,92,80
22,Phoenix Suns,Detroit Pistons,92,89
23,Los Angeles Clippers,Los Angeles Lakers,105,95
24,Memphis Grizzlies,Golden State Warriors,104,94
25,Boston Celtics,Washington Wizards,89,86
26,Indiana Pacers,Sacramento Kings,106,98
27,Brooklyn Nets,Toronto Raptors,107,100
28,Miami Heat,Denver Nuggets,119,116
29,New Orleans Hornets,Chicago Bulls,89,82
30,Portland Trail Blazers,Houston Rockets,95,85
31,Milwaukee Bucks,Cleveland Cavaliers,105,102
32,Dallas Mavericks,Charlotte Bobcats,126,99
33,San Antonio Spurs,Utah Jazz,110,100
34,Golden State Warriors,Los Angeles Clippers,114,110
35,New York Knicks,Philadelphia 76ers,100,84
36,Toronto Raptors,Minnesota Timberwolves,105,86
37,Orlando Magic,Phoenix Suns,115,94
38,Atlanta Hawks,Oklahoma City Thunder,104,95
39,Los Angeles Lakers,Detroit Pistons,108,79
40,New York Knicks,Philadelphia 76ers,110,88
41,Minnesota Timberwolves,Brooklyn Nets,107,96
42,Miami Heat,Phoenix Suns,124,99
43,Memphis Grizzlies,Utah Jazz,103,94
44,Dallas Mavericks,Portland Trail Blazers,114,91
45,San Antonio Spurs,Indiana Pacers,101,79
46,Sacramento Kings,Golden State Warriors,94,92
47,Cleveland Cavaliers,Los Angeles Clippers,108,101
48,Chicago Bulls,Orlando Magic,99,93
49,Oklahoma City Thunder,Toronto Raptors,108,88
50,Denver Nuggets,Detroit Pistons,109,97
51,Phoenix Suns,Charlotte Bobcats,117,110
52,Boston Celtics,Washington Wizards,100,94
53,Atlanta Hawks,Indiana Pacers,89,86
54,Miami Heat,Brooklyn Nets,103,73
55,Memphis Grizzlies,Milwaukee Bucks,108,90
56,Philadelphia 76ers,New Orleans Hornets,77,62
57,Denver Nuggets,Houston Rockets,93,87
58,Minnesota Timberwolves,Orlando Magic,90,75
59,Dallas Mavericks,Toronto Raptors,109,104
60,Utah Jazz,Los Angeles Lakers,95,86
61,Sacramento Kings,Detroit Pistons,105,103
62,Los Angeles Clippers,San Antonio Spurs,106,84
63,Golden State Warriors,Cleveland Cavaliers,106,96
64,Oklahoma City Thunder,Chicago Bulls,97,91
65,Los Angeles Clippers,Portland Trail Blazers,103,90
66,Milwaukee Bucks,Washington Wizards,101,91
67,Brooklyn Nets,Orlando Magic,107,68
68,Philadelphia 76ers,Boston Celtics,106,100
69,New York Knicks,Dallas Mavericks,104,94
70,Miami Heat,Atlanta Hawks,95,89
71,Memphis Grizzlies,Houston Rockets,93,85
72,New Orleans Hornets,Charlotte Bobcats,107,99
73,Oklahoma City Thunder,Detroit Pistons,105,94
74,Minnesota Timberwolves,Indiana Pacers,96,94
75,Phoenix Suns,Cleveland Cavaliers,107,105
76,San Antonio Spurs,Sacramento Kings,97,86
77,Denver Nuggets,Utah Jazz,104,84
78,Los Angeles Lakers,Golden State Warriors,101,77
79,Philadelphia 76ers,Toronto Raptors,93,83
80,Indiana Pacers,Washington Wizards,89,85
81,Charlotte Bobcats,Dallas Mavericks,101,97
82,Chicago Bulls,Minnesota Timberwolves,87,80
83,Houston Rockets,Detroit Pistons,96,82
84,Boston Celtics,Milwaukee Bucks,96,92
85,Utah Jazz,Phoenix Suns,94,81
86,San Antonio Spurs,Portland Trail Blazers,112,109
87,Denver Nuggets,Golden State Warriors,107,101
88,Brooklyn Nets,Orlando Magic,82,74
89,Los Angeles Clippers,Atlanta Hawks,89,76
