,home,away,home_points,away_points
125,Chicago Bulls,Toronto Raptors,96,80
126,Atlanta Hawks,Philadelphia 76ers,113,103
127,Portland Trail Blazers,Boston Celtics,109,96
128,Charlotte Bobcats,Cleveland Cavaliers,86,80
129,Miami Heat,Dallas Mavericks,110,104
130,Denver Nuggets,Minnesota Timberwolves,117,113
131,Brooklyn Nets,Phoenix Suns,100,98
132,San Antonio Spurs,Utah Jazz,91,82
133,Memphis Grizzlies,Los Angeles Lakers,89,86
134,Detroit Pistons,Sacramento Kings,97,90
135,Miami Heat,Charlotte Bobcats,97,81
136,Dallas Mavericks,Orlando Magic,108,100
137,Cleveland Cavaliers,Washington Wizards,103,96
138,Atlanta Hawks,New York Knicks,110,90
139,Chicago Bulls,Indiana Pacers,110,94
140,Houston Rockets,Denver Nuggets,122,111
141,Minnesota Timberwolves,Boston Celtics,106,88
142,New Orleans Pelicans,Philadelphia 76ers,135,98
143,Oklahoma City Thunder,Milwaukee Bucks,92,79
144,Golden State Warriors,Utah Jazz,102,88
145,Los Angeles Clippers,Brooklyn Nets,110,103
146,Portland Trail Blazers,Toronto Raptors,118,110
147,Memphis Grizzlies,Sacramento Kings,97,86
148,Los Angeles Lakers,Detroit Pistons,114,99
149,Portland Trail Blazers,Brooklyn Nets,108,98
150,Chicago Bulls,Charlotte Bobcats,86,81
151,Oklahoma City Thunder,Denver Nuggets,115,113
152,Dallas Mavericks,Philadelphia 76ers,97,94
153,Golden State Warriors,Utah Jazz,98,87
154,Memphis Grizzlies,Los Angeles Clippers,106,102
155,Washington Wizards,Minnesota Timberwolves,104,100
156,Detroit Pistons,New York Knicks,92,86
157,Miami Heat,Atlanta Hawks,104,88
158,Houston Rockets,Boston Celtics,109,85
159,Sacramento Kings,Phoenix Suns,107,104
160,Charlotte Bobcats,Brooklyn Nets,95,91
161,Washington Wizards,Cleveland Cavaliers,98,91
162,Indiana Pacers,New York Knicks,103,96
163,Miami Heat,Orlando Magic,120,92
164,Toronto Raptors,Philadelphia 76ers,108,98
165,Atlanta Hawks,Detroit Pistons,93,85
166,Portland Trail Blazers,Milwaukee Bucks,91,82
167,Los Angeles Clippers,Minnesota Timberwolves,102,98
168,New Orleans Pelicans,Utah Jazz,105,98
169,San Antonio Spurs,Boston Celtics,104,93
170,Sacramento Kings,Phoenix Suns,113,106
171,Dallas Mavericks,Houston Rockets,123,120
172,Memphis Grizzlies,Golden State Warriors,88,81
173,Oklahoma City Thunder,Los Angeles Clippers,105,91
174,Denver Nuggets,Chicago Bulls,97,87
175,Phoenix Suns,Charlotte Bobcats,98,91
176,Philadelphia 76ers,Milwaukee Bucks,115,107
177,Toronto Raptors,Washington Wizards,96,88
178,Indiana Pacers,Boston Celtics,97,82
179,Atlanta Hawks,Detroit Pistons,96,89
180,San Antonio Spurs,Memphis Grizzlies,102,86
181,Minnesota Timberwolves,Brooklyn Nets,111,81
182,New Orleans Pelicans,Cleveland Cavaliers,104,100
183,Dallas Mavericks,Utah Jazz,103,93
184,Portland Trail Blazers,Chicago Bulls,98,95
185,Los Angeles Lakers,Golden State Warriors,102,95
186,Los Angeles Clippers,Sacramento Kings,103,102
187,Indiana Pacers,Philadelphia 76ers,106,98
188,Washington Wizards,New York Knicks,98,89
189,Boston Celtics,Atlanta Hawks,94,87
190,Miami Heat,Orlando Magic,101,99
191,Houston Rockets,Minnesota Timberwolves,112,101
192,Charlotte Bobcats,Milwaukee Bucks,96,72
193,San Antonio Spurs,Cleveland Cavaliers,126,96
194,Denver Nuggets,Dallas Mavericks,102,100
195,Portland Trail Blazers,Golden State Warriors,113,101
196,Detroit Pistons,Brooklyn Nets,109,97
197,Los Angeles Clippers,Chicago Bulls,121,82
198,Phoenix Suns,Orlando Magic,104,96
199,Oklahoma City Thunder,Utah Jazz,95,73
200,Los Angeles Lakers,Sacramento Kings,100,86
201,Boston Celtics,Charlotte Bobcats,96,86
202,Indiana Pacers,Minnesota Timberwolves,98,84
203,Detroit Pistons,Milwaukee Bucks,113,94
204,Miami Heat,Phoenix Suns,107,92
205,Houston Rockets,Memphis Grizzlies,93,86
206,Denver Nuggets,Dallas Mavericks,110,96
207,San Antonio Spurs,New Orleans Pelicans,112,93
208,Utah Jazz,Chicago Bulls,89,83
209,Portland Trail Blazers,New York Knicks,102,91
210,Brooklyn Nets,Toronto Raptors,102,100
211,Washington Wizards,Los Angeles Lakers,116,111
212,Orlando Magic,Atlanta Hawks,109,92
213,Golden State Warriors,New Orleans Pelicans,102,101
214,Indiana Pacers,Charlotte Bobcats,99,74
215,Orlando Magic,Philadelphia 76ers,105,94
216,Memphis Grizzlies,Boston Celtics,100,93
217,Los Angeles Lakers,Brooklyn Nets,99,94
218,Miami Heat,Cleveland Cavaliers,95,84
219,Chicago Bulls,Detroit Pistons,99,79
220,Houston Rockets,Atlanta Hawks,113,84
221,Washington Wizards,Milwaukee Bucks,100,92
222,Denver Nuggets,Minnesota Timberwolves,117,110
223,Oklahoma City Thunder,San Antonio Spurs,94,88
224,Dallas Mavericks,Golden State Warriors,103,99
225,Phoenix Suns,Portland Trail Blazers,120,106
226,Los Angeles Clippers,New York Knicks,93,80
227,Charlotte Bobcats,Milwaukee Bucks,92,76
228,San Antonio Spurs,Orlando Magic,109,91
229,Miami Heat,Toronto Raptors,90,83
230,Atlanta Hawks,Dallas Mavericks,88,87
231,Boston Celtics,Cleveland Cavaliers,103,86
232,Los Angeles Lakers,Detroit Pistons,106,102
233,Houston Rockets,Brooklyn Nets,114,95
234,Oklahoma City Thunder,Golden State Warriors,113,112
235,Indiana Pacers,Washington Wizards,93,73
236,New Orleans Pelicans,Philadelphia 76ers,121,105
237,Denver Nuggets,New York Knicks,97,95
238,Phoenix Suns,Utah Jazz,112,101
239,Los Angeles Clippers,Sacramento Kings,104,98
240,Washington Wizards,Atlanta Hawks,108,101
241,Cleveland Cavaliers,Chicago Bulls,97,93
242,Brooklyn Nets,Memphis Grizzlies,97,88
243,Minnesota Timberwolves,Dallas Mavericks,112,106
244,Houston Rockets,San Antonio Spurs,112,106
245,Utah Jazz,Phoenix Suns,112,104
246,Milwaukee Bucks,Boston Celtics,92,85
247,Denver Nuggets,Toronto Raptors,112,98
248,Indiana Pacers,Los Angeles Clippers,105,100
249,Detroit Pistons,Philadelphia 76ers,115,100
250,Golden State Warriors,Sacramento Kings,115,113
251,Miami Heat,Charlotte Bobcats,99,98
252,Oklahoma City Thunder,Minnesota Timberwolves,113,103
253,New Orleans Pelicans,New York Knicks,103,99
254,Portland Trail Blazers,Los Angeles Lakers,114,108
255,Washington Wizards,Orlando Magic,98,80
256,New Orleans Pelicans,Chicago Bulls,131,128
257,San Antonio Spurs,Atlanta Hawks,102,100
258,Utah Jazz,Houston Rockets,109,103
259,Portland Trail Blazers,Indiana Pacers,106,102
260,Philadelphia 76ers,Orlando Magic,126,125
261,Boston Celtics,Milwaukee Bucks,108,100
262,Denver Nuggets,Brooklyn Nets,111,87
263,Detroit Pistons,Miami Heat,107,97
264,Memphis Grizzlies,Phoenix Suns,110,91
265,Dallas Mavericks,Charlotte Bobcats,89,82
266,Oklahoma City Thunder,Sacramento Kings,97,95
267,Golden State Warriors,Toronto Raptors,112,103
268,Cleveland Cavaliers,Denver Nuggets,98,88
269,Atlanta Hawks,Los Angeles Clippers,107,97
270,Phoenix Suns,Houston Rockets,97,88
271,Detroit Pistons,Milwaukee Bucks,105,98
272,Dallas Mavericks,New Orleans Pelicans,100,97
273,Indiana Pacers,Utah Jazz,95,86
274,Portland Trail Blazers,Oklahoma City Thunder,111,104
275,New York Knicks,Brooklyn Nets,113,83
276,Los Angeles Clippers,Memphis Grizzlies,101,81
277,Chicago Bulls,Miami Heat,107,87
278,Charlotte Bobcats,Philadelphia 76ers,105,88
279,Milwaukee Bucks,Washington Wizards,109,105
280,Atlanta Hawks,Cleveland Cavaliers,108,89
281,Boston Celtics,Denver Nuggets,106,98
282,New York Knicks,Orlando Magic,121,83
283,Houston Rockets,Golden State Warriors,105,83
284,Oklahoma City Thunder,New Orleans Pelicans,109,95
285,Phoenix Suns,Toronto Raptors,106,97
286,Portland Trail Blazers,Utah Jazz,130,98
