,home,away,home_points,away_points
0,Cleveland Cavaliers,New York Knicks,117,88
1,Portland Trail Blazers,Utah Jazz,113,104
2,San Antonio Spurs,Golden State Warriors,129,100
3,Miami Heat,Orlando Magic,108,96
4,Indiana Pacers,Dallas Mavericks,130,121
5,Boston Celtics,Brooklyn Nets,122,117
6,Toronto Raptors,Detroit Pistons,109,91
7,Charlotte Hornets,Milwaukee Bucks,107,96
8,Memphis Grizzlies,Minnesota Timberwolves,102,98
9,Denver Nuggets,New Orleans Pelicans,107,102
10,Oklahoma City Thunder,Philadelphia 76ers,103,97
11,Sacramento Kings,Phoenix Suns,113,94
12,Los Angeles Lakers,Houston Rockets,120,114
13,Atlanta Hawks,Washington Wizards,114,99
14,Chicago Bulls,Boston Celtics,105,99
15,San Antonio Spurs,Sacramento Kings,102,94
16,Los Angeles Clippers,Portland Trail Blazers,114,106
17,Cleveland Cavaliers,Toronto Raptors,94,91
18,Brooklyn Nets,Indiana Pacers,103,94
19,Detroit Pistons,Orlando Magic,108,82
20,Oklahoma City Thunder,Phoenix Suns,113,110
21,Charlotte Hornets,Miami Heat,97,91
22,Houston Rockets,Dallas Mavericks,106,98
23,Utah Jazz,Los Angeles Lakers,96,89
24,Golden State Warriors,New Orleans Pelicans,122,114
25,Atlanta Hawks,Philadelphia 76ers,104,72
26,Boston Celtics,Charlotte Hornets,104,98
27,New York Knicks,Memphis Grizzlies,111,104
28,Cleveland Cavaliers,Orlando Magic,105,99
29,Chicago Bulls,Indiana Pacers,118,101
30,Milwaukee Bucks,Brooklyn Nets,110,108
31,San Antonio Spurs,New Orleans Pelicans,98,79
32,Portland Trail Blazers,Denver Nuggets,115,113
33,Sacramento Kings,Minnesota Timberwolves,106,103
34,Los Angeles Clippers,Utah Jazz,88,75
35,Golden State Warriors,Phoenix Suns,106,100
36,San Antonio Spurs,Miami Heat,106,99
37,Detroit Pistons,Milwaukee Bucks,98,83
38,Oklahoma City Thunder,Los Angeles Lakers,113,96
39,Memphis Grizzlies,Washington Wizards,112,103
40,Houston Rockets,Dallas Mavericks,93,92
41,Toronto Raptors,Denver Nuggets,105,102
42,Chicago Bulls,Brooklyn Nets,118,88
43,Atlanta Hawks,Sacramento Kings,106,95
44,Los Angeles Clippers,Phoenix Suns,116,98
45,Orlando Magic,Philadelphia 76ers,103,101
46,Cleveland Cavaliers,Houston Rockets,128,120
